epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.83239,1.98275,6.5187,1.17475,0.00126,0.5,0.04576,0.02581,1.24246,4.87802,0.95522,2.222e-05,2.222e-05,2.222e-05
2,15.1388,2.05001,6.67996,1.19172,0.00124,0.5,0.16612,0.11348,1.21666,4.78942,0.91889,5.50001e-05,5.50001e-05,5.50001e-05
3,22.5724,1.59296,5.96319,0.99825,0.00122,0.5,0.2834,0.20466,1.28875,4.70065,0.87646,8.71202e-05,8.71202e-05,8.71202e-05
4,29.9856,1.59537,5.67995,0.99306,0.00124,0.5,0.26958,0.24263,1.06568,4.59082,0.82906,0.00011858,0.00011858,0.00011858
5,37.631,1.65063,4.89001,1.01604,0.00123,0.5,0.27857,0.25071,1.03826,4.53074,0.82487,0.000149381,0.000149381,0.000149381
6,45.1356,1.56992,3.75466,1.06582,0.00122,0.5,0.28606,0.20527,1.12659,4.62557,0.84033,0.000179521,0.000179521,0.000179521
7,52.4763,1.48041,3.55273,0.99085,0.00119,0.5,0.26948,0.21015,1.16141,4.57028,0.85414,0.000209001,0.000209001,0.000209001
8,59.8472,1.65501,4.15549,0.97513,0.00119,0.5,0.27857,0.19968,1.29397,4.57392,0.94996,0.000237822,0.000237822,0.000237822
9,67.1911,1.42539,3.33248,0.94157,0.00121,0.5,0.29042,0.16458,1.25122,4.50056,1.01192,0.000265982,0.000265982,0.000265982
10,74.5591,1.65081,3.15961,0.99897,0.00121,0.5,0.29042,0.18398,1.21662,4.40964,0.98462,0.000293483,0.000293483,0.000293483
11,81.8355,1.4935,3.53632,1.03104,0.00123,0.5,0.26948,0.13752,1.37106,4.54873,0.98929,0.000320324,0.000320324,0.000320324
12,89.182,1.49802,3.98347,1.04766,0.0012,0.5,0.26948,0.12972,1.44312,4.58328,1.00169,0.000346504,0.000346504,0.000346504
13,96.4591,1.26588,3.06196,0.9481,0.00122,0.5,0.33146,0.2419,1.34246,4.43564,0.95585,0.000372025,0.000372025,0.000372025
14,103.777,1.32021,3.04248,0.93731,0.00151,0.525,0.31096,0.21904,1.32137,4.34667,0.95364,0.000396886,0.000396886,0.000396886
15,111.175,1.35506,3.99572,0.8958,0.00214,0.575,0.33217,0.24625,1.32696,4.24367,0.96309,0.000421087,0.000421087,0.000421087
16,118.612,1.25332,2.80149,0.90319,0.00129,0.5,0.34203,0.24761,1.29503,4.28393,1.01151,0.000444628,0.000444628,0.000444628
17,126.071,1.386,3.07266,1.01164,0.00125,0.5,0.29719,0.25491,1.33374,4.34046,1.04709,0.000467509,0.000467509,0.000467509
18,133.393,1.63216,3.29606,0.95396,0.00215,0.575,0.29922,0.25645,1.43378,4.24253,1.03488,0.00048973,0.00048973,0.00048973
19,140.968,1.49708,3.10736,1.01703,0.00395,0.725,0.40386,0.2815,1.4101,4.15704,1.00855,0.000511291,0.000511291,0.000511291
20,148.448,1.39262,2.8775,0.97842,0.00415,0.75,0.51418,0.33647,1.39552,4.03777,0.97783,0.000532192,0.000532192,0.000532192
21,155.768,1.31678,3.36423,0.91618,0.00406,0.75,0.52929,0.2973,1.43483,3.95196,0.96922,0.000552434,0.000552434,0.000552434
22,163.245,1.54584,2.68061,0.93616,0.00413,0.75,0.51995,0.29743,1.50327,4.03243,1.01197,0.000572015,0.000572015,0.000572015
23,170.57,1.56838,3.19401,0.97148,0.00383,0.725,0.4945,0.24078,1.60869,3.88025,1.01522,0.000590936,0.000590936,0.000590936
24,177.926,1.54661,2.55652,0.93295,0.00374,0.725,0.51671,0.29357,1.56266,3.78542,1.00127,0.000609198,0.000609198,0.000609198
