epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1185,1.94418,6.19046,1.18884,0.00105,0.5,0.01199,0.00938,1.57331,5.3116,1.08317,1.429e-05,1.429e-05,1.429e-05
2,14.3979,2.25993,7.07643,1.23839,0.00104,0.5,0.04146,0.02392,1.46696,5.18901,1.05167,4.24456e-05,4.24456e-05,4.24456e-05
3,21.1517,1.99739,6.71609,1.08269,0.00151,0.55,0.095,0.08772,1.42409,5.0353,1.01131,7.00353e-05,7.00353e-05,7.00353e-05
4,27.5793,2.12105,6.58303,1.08295,0.00196,0.6,0.24894,0.21148,1.36993,4.9575,0.9758,9.70591e-05,9.70591e-05,9.70591e-05
5,33.8112,1.90782,6.22004,1.0056,0.00425,0.85,0.25108,0.21239,1.30354,4.8482,0.95026,0.000123517,0.000123517,0.000123517
6,40.0241,1.75191,5.46912,0.90746,0.00361,0.8,0.25041,0.20803,1.37277,4.76728,0.96917,0.000149409,0.000149409,0.000149409
7,46.4174,1.75985,5.25344,0.96801,0.00356,0.8,0.25038,0.1562,1.49732,4.7313,0.98662,0.000174735,0.000174735,0.000174735
8,52.6875,1.53617,4.09574,0.92026,0.00352,0.8,0.25037,0.16233,1.51484,4.72164,0.9515,0.000199496,0.000199496,0.000199496
9,58.982,1.64085,3.70041,0.94658,0.00349,0.8,0.25035,0.18097,1.44306,4.67388,0.95457,0.00022369,0.00022369,0.00022369
10,65.2621,1.65067,3.9256,0.94184,0.00386,0.85,0.25086,0.19964,1.56195,4.76438,0.96132,0.000247318,0.000247318,0.000247318
11,71.6112,1.65357,3.78067,0.94205,0.00386,0.85,0.25086,0.15618,1.66831,4.71368,1.00259,0.000270381,0.000270381,0.000270381
12,77.9664,1.69654,4.10837,0.9633,0.00382,0.85,0.25084,0.1004,1.69209,4.69236,1.02827,0.000292878,0.000292878,0.000292878
13,84.1253,1.62654,3.84429,0.96092,0.0034,0.8,0.15546,0.06236,1.62303,4.78221,1.04694,0.000314809,0.000314809,0.000314809
14,90.3057,1.70203,3.54658,0.93153,0.00298,0.75,0.08402,0.0173,1.6404,4.72995,1.06577,0.000336174,0.000336174,0.000336174
15,96.4133,1.42593,3.12836,1.01682,0.00302,0.75,0.00201,0.00097,1.65468,4.6363,1.05588,0.000356973,0.000356973,0.000356973
16,102.372,1.39353,3.1665,0.92078,0.00298,0.75,0.00195,0.00078,1.74942,4.65039,1.03997,0.000377206,0.000377206,0.000377206
17,108.724,1.45566,3.37331,0.92179,0.00257,0.5,0.00129,0.00042,1.82583,4.62409,1.05873,0.000396873,0.000396873,0.000396873
18,114.854,1.51815,3.1127,0.95607,0.00263,0.5,0.00132,0.00051,1.81768,4.55518,1.06255,0.000415975,0.000415975,0.000415975
19,121.033,1.46471,3.10078,1.0145,0.00259,0.5,0.0013,0.00047,1.86433,4.59331,1.07934,0.00043451,0.00043451,0.00043451
20,127.136,1.68781,3.40802,1.09018,0.00216,0.45,0.0009,0.0003,2.04022,4.69917,1.13357,0.00045248,0.00045248,0.00045248
21,133.124,1.53177,2.82049,0.99706,0.00258,0.7,0.01774,0.01206,1.83812,4.60092,1.12569,0.000469884,0.000469884,0.000469884
22,139.063,1.61615,3.077,1.00154,0.00256,0.7,0.02015,0.0158,1.72744,4.60456,1.06242,0.000486722,0.000486722,0.000486722
23,145.167,1.36082,2.8248,0.97761,0.00172,0.6,0.02265,0.01605,1.5838,4.61147,1.03084,0.000502994,0.000502994,0.000502994
24,151.084,1.46253,2.90747,0.89194,0.00174,0.6,0.05253,0.02793,1.52748,4.55125,1.00663,0.0005187,0.0005187,0.0005187
25,157.059,1.65066,3.48279,0.95568,0.00216,0.65,0.05011,0.03497,1.48983,4.51672,1.01343,0.00053384,0.00053384,0.00053384
26,163.157,1.67589,2.72758,0.98902,0.00137,0.55,0.04527,0.0328,1.62172,4.58794,1.06128,0.000548414,0.000548414,0.000548414
27,169.126,1.50149,2.71852,1.00602,0.00142,0.55,0.09049,0.05654,1.77531,4.5362,1.0618,0.000562423,0.000562423,0.000562423
28,175.121,1.46096,2.56832,0.93747,0.00142,0.55,0.09049,0.05654,1.77531,4.5362,1.0618,0.000575866,0.000575866,0.000575866
29,181.249,1.48413,2.6458,1.00431,0.08184,0.5,0.14218,0.07461,1.68311,4.49502,1.02542,0.000588742,0.000588742,0.000588742
30,187.222,1.31562,2.24398,0.9508,0.00104,0.5,0.16583,0.08815,1.79402,4.639,1.04774,0.000601053,0.000601053,0.000601053
31,193.294,1.42164,2.68566,1.01261,0.00104,0.5,0.16583,0.08815,1.79402,4.639,1.04774,0.000612798,0.000612798,0.000612798
32,199.197,1.4199,2.69395,0.89462,0.00104,0.5,0.11056,0.02397,1.89,4.45708,1.5263,0.000623977,0.000623977,0.000623977
33,205.117,1.49866,2.74677,0.99897,0.00312,0.75,0.50208,0.08783,1.96904,4.36816,1.61572,0.00063459,0.00063459,0.00063459
34,211.082,1.3132,2.19718,0.93237,0.00312,0.75,0.50208,0.08783,1.96904,4.36816,1.61572,0.000644638,0.000644638,0.000644638
35,217.014,1.50277,2.61431,1.07399,0.00394,0.85,0.41121,0.11725,2.11295,4.26737,1.3093,0.000654119,0.000654119,0.000654119
36,223.015,1.51349,2.64012,0.96208,0.00389,0.85,0.55569,0.12924,2.08946,4.28183,1.22446,0.000663035,0.000663035,0.000663035
37,229.205,1.47241,2.45378,0.97002,0.00389,0.85,0.55569,0.12924,2.08946,4.28183,1.22446,0.000671384,0.000671384,0.000671384
38,235.412,1.63146,3.32912,1.0225,0.00435,0.9,0.19677,0.08127,1.89531,4.31476,1.16071,0.000679168,0.000679168,0.000679168
39,241.683,1.63223,2.84048,0.96455,0.00478,0.95,0.29526,0.15257,1.7864,4.12901,1.08888,0.000686386,0.000686386,0.000686386
40,247.744,1.45393,2.25741,0.9525,0.00478,0.95,0.29526,0.15257,1.7864,4.12901,1.08888,0.000693038,0.000693038,0.000693038
41,253.862,1.49443,2.5124,0.90719,0.00523,1,0.57469,0.35057,1.66354,3.72438,1.03836,0.000699124,0.000699124,0.000699124
42,259.77,1.37632,2.34346,0.95699,0.3385,1,0.845,0.48919,1.71923,3.50109,1.08178,0.000704644,0.000704644,0.000704644
43,265.751,1.37753,2.03795,0.96384,0.3385,1,0.845,0.48919,1.71923,3.50109,1.08178,0.000709599,0.000709599,0.000709599
44,271.824,1.33122,2.02651,0.96791,1,0.24664,0.80056,0.48247,1.66008,3.38327,1.11533,0.000713987,0.000713987,0.000713987
45,277.858,1.42488,2.62485,1.00103,1,0.24664,0.80056,0.48247,1.66008,3.38327,1.11533,0.00071781,0.00071781,0.00071781
46,283.953,1.36889,2.2344,0.95814,1,0.19802,0.76583,0.49074,1.60175,3.33649,1.12568,0.000721066,0.000721066,0.000721066
47,290.01,1.07032,2.07661,0.87796,1,0.19802,0.76583,0.49074,1.60175,3.33649,1.12568,0.000723757,0.000723757,0.000723757
48,296.059,1.28374,2.2951,0.86923,1,0.09526,0.78667,0.43154,1.75389,3.21704,1.21261,0.000725882,0.000725882,0.000725882
49,302.127,1.23873,2.41939,0.8818,1,0.09526,0.78667,0.43154,1.75389,3.21704,1.21261,0.000727441,0.000727441,0.000727441
50,308.225,1.3638,2.2424,0.97802,0.8515,0.49593,0.74435,0.41085,1.69644,2.94331,1.14599,0.000728434,0.000728434,0.000728434
51,314.409,1.21522,2.02501,0.95826,0.8515,0.49593,0.74435,0.41085,1.69644,2.94331,1.14599,0.000721645,0.000721645,0.000721645
52,320.515,1.26995,2.36701,0.89719,0.80029,0.73809,0.82833,0.47384,1.59089,2.61628,1.15891,0.000707498,0.000707498,0.000707498
53,326.702,1.33747,2.15816,0.9031,0.80029,0.73809,0.82833,0.47384,1.59089,2.61628,1.15891,0.000693351,0.000693351,0.000693351
54,332.797,1.31765,2.07834,0.9627,0.89792,0.74951,0.91167,0.54325,1.50573,2.50685,1.0751,0.000679204,0.000679204,0.000679204
55,338.877,1.21359,2.19825,0.9279,0.89792,0.74951,0.91167,0.54325,1.50573,2.50685,1.0751,0.000665057,0.000665057,0.000665057
56,344.926,1.16752,1.99835,0.91804,0.83827,0.79282,0.98346,0.63112,1.52505,2.54452,1.0352,0.000650909,0.000650909,0.000650909
57,351.082,1.08805,1.93036,0.91134,0.83827,0.79282,0.98346,0.63112,1.52505,2.54452,1.0352,0.000636762,0.000636762,0.000636762
